Date,Lebron
2017-06-27,21604
2017-06-28,18243
2017-06-29,15600
2017-06-30,13651
2017-07-01,18676
2017-07-02,15892
2017-07-03,15774
2017-07-04,16667
2017-07-05,17003
2017-07-06,16381
2017-07-07,14854
2017-07-08,14572
2017-07-09,14550
2017-07-10,12659
2017-07-11,12462
2017-07-12,11248
2017-07-13,13257
2017-07-14,14331
2017-07-15,10920
2017-07-16,11004
2017-07-17,11325
2017-07-18,11734
2017-07-19,12736
2017-07-20,12575
2017-07-21,16057
2017-07-22,18411
2017-07-23,13833
2017-07-24,16071
2017-07-25,19726
2017-07-26,14195
2017-07-27,12552
2017-07-28,12296
2017-07-29,11369
2017-07-30,10800
2017-07-31,11975
2017-08-01,11731
2017-08-02,13731
2017-08-03,13298
2017-08-04,12304
2017-08-05,10411
2017-08-06,9203
2017-08-07,9791
2017-08-08,9517
2017-08-09,9672
2017-08-10,10322
2017-08-11,9274
2017-08-12,8527
2017-08-13,8871
2017-08-14,9208
2017-08-15,9428
2017-08-16,11946
2017-08-17,11831
2017-08-18,10588
2017-08-19,8526
2017-08-20,8937
2017-08-21,9405
2017-08-22,10730
2017-08-23,25443
2017-08-24,14995
2017-08-25,12020
2017-08-26,11146
2017-08-27,13533
2017-08-28,9909
2017-08-29,9419
2017-08-30,9785
2017-08-31,10447
2017-09-01,9347
2017-09-02,10436
2017-09-03,10606
2017-09-04,9314
2017-09-05,9834
2017-09-06,8135
2017-09-07,8821
2017-09-08,9131
2017-09-09,9228
2017-09-10,8630
2017-09-11,8408
2017-09-12,8974
2017-09-13,10369
2017-09-14,11580
2017-09-15,12865
2017-09-16,12096
2017-09-17,10511
2017-09-18,10473
2017-09-19,10184
2017-09-20,9780
2017-09-21,10134
2017-09-22,9403
2017-09-23,15613
2017-09-24,19425
2017-09-25,22062
2017-09-26,28529
2017-09-27,31932
2017-09-28,23371
2017-09-29,17070
2017-09-30,14300
2017-10-01,12005
2017-10-02,10766
2017-10-03,11902
2017-10-04,11718
2017-10-05,12315
2017-10-06,11600
2017-10-07,11520
2017-10-08,10069
2017-10-09,10146
2017-10-10,10474
2017-10-11,14726
2017-10-12,11837
2017-10-13,11491
2017-10-14,10655
2017-10-15,10287
2017-10-16,13282
2017-10-17,29538
2017-10-18,45266
2017-10-19,20971
2017-10-20,18936
2017-10-21,20589
2017-10-22,15266
2017-10-23,14723
2017-10-24,19692
2017-10-25,23723
2017-10-26,21920
2017-10-27,14977
2017-10-28,12087
2017-10-29,14631
2017-10-30,14057
2017-10-31,12987
2017-11-01,13019
2017-11-02,15438
2017-11-03,14649
2017-11-04,44190
2017-11-05,18272
2017-11-06,16347
2017-11-07,17024
2017-11-08,20296
2017-11-09,17435
2017-11-10,20247
2017-11-11,13985
2017-11-12,18022
2017-11-13,15225
2017-11-14,22928
2017-11-15,16653
2017-11-16,25249
2017-11-17,17842
2017-11-18,21746
2017-11-19,14693
2017-11-20,13898
2017-11-21,15836
2017-11-22,13614
2017-11-23,17122
2017-11-24,12167
2017-11-25,17880
2017-11-26,13787
2017-11-27,14190
2017-11-28,20703
2017-11-29,24067
2017-11-30,17072
2017-12-01,20878
2017-12-02,14673
2017-12-03,18667
2017-12-04,14773
2017-12-05,16854
2017-12-06,14871
2017-12-07,24042
2017-12-08,17314
2017-12-09,16734
2017-12-10,17117
2017-12-11,15200
2017-12-12,15136
2017-12-13,20753
2017-12-14,19259
2017-12-15,29080
2017-12-16,17706
2017-12-17,23827
2017-12-18,24202
2017-12-19,26718
2017-12-20,21935
2017-12-21,17091
2017-12-22,20678
2017-12-23,17345
2017-12-24,13866
2017-12-25,41805
2017-12-26,23275
2017-12-27,15911
2017-12-28,18505
2017-12-29,18106
2017-12-30,48771
2017-12-31,36222
2018-01-01,16954
2018-01-02,16293
2018-01-03,18741
2018-01-04,24061
2018-01-05,15162
2018-01-06,13819
2018-01-07,15740
2018-01-08,13163
2018-01-09,15842
2018-01-10,13717
2018-01-11,26330
2018-01-12,24999
2018-01-13,18579
2018-01-14,14264
2018-01-15,13541
2018-01-16,30804
2018-01-17,15700
2018-01-18,17102
2018-01-19,22905
2018-01-20,26486
2018-01-21,23918
2018-01-22,15197
2018-01-23,21347
2018-01-24,65484
2018-01-25,28012
2018-01-26,23310
2018-01-27,19810
2018-01-28,22233
2018-01-29,17043
2018-01-30,17684
2018-01-31,18991
2018-02-01,28039
2018-02-02,22859
2018-02-03,18083
2018-02-04,24355
2018-02-05,17722
2018-02-06,19677
2018-02-07,20590
2018-02-08,40199
2018-02-09,33886
2018-02-10,26906
2018-02-11,31000
2018-02-12,26434
2018-02-13,20798
2018-02-14,26185
2018-02-15,20128
2018-02-16,25039
2018-02-17,25569
2018-02-18,31060
2018-02-19,99426
2018-02-20,34656
2018-02-21,23762
2018-02-22,21789
2018-02-23,22394
2018-02-24,19925
2018-02-25,26270
2018-02-26,22789
2018-02-27,19739
2018-02-28,34278
2018-03-01,24474
2018-03-02,27858
2018-03-03,17687
2018-03-04,19147
2018-03-05,21095
2018-03-06,19591
2018-03-07,18814
2018-03-08,26513
2018-03-09,20775
2018-03-10,18186
2018-03-11,18061
2018-03-12,26571
2018-03-13,19096
2018-03-14,22002
2018-03-15,17496
2018-03-16,22632
2018-03-17,15245
2018-03-18,18548
2018-03-19,19594
2018-03-20,28085
2018-03-21,20012
2018-03-22,29508
2018-03-23,17857
2018-03-24,16881
2018-03-25,20195
2018-03-26,21944
2018-03-27,18454
2018-03-28,25268
2018-03-29,27408
2018-03-30,18711
2018-03-31,35096
2018-04-01,22687
2018-04-02,19889
2018-04-03,21200
2018-04-04,22098
2018-04-05,18804
2018-04-06,21632
2018-04-07,28423
2018-04-08,17955
2018-04-09,17795
2018-04-10,22730
2018-04-11,22004
2018-04-12,27672
2018-04-13,22228
2018-04-14,20405
2018-04-15,40686
2018-04-16,26620
2018-04-17,25726
2018-04-18,21018
2018-04-19,35613
2018-04-20,22937
2018-04-21,29915
2018-04-22,20812
2018-04-23,39234
2018-04-24,19783
2018-04-25,26033
2018-04-26,58754
2018-04-27,22102
2018-04-28,30915
2018-04-29,70024
2018-04-30,45577
2018-05-01,31318
2018-05-02,53167
2018-05-03,31383
2018-05-04,57264
2018-05-05,28143
2018-05-06,109442
2018-05-07,47791
2018-05-08,80028
2018-05-09,42707
2018-05-10,41219
2018-05-11,36298
2018-05-12,29846
2018-05-13,48511
2018-05-14,37339
2018-05-15,36458
2018-05-16,74500
2018-05-17,34441
2018-05-18,23541
2018-05-19,20175
2018-05-20,51270
2018-05-21,33125
2018-05-22,80606
2018-05-23,38443
2018-05-24,64591
2018-05-25,44139
2018-05-26,136539
2018-05-27,55654
2018-05-28,407561
2018-05-29,177975
2018-05-30,82426
2018-05-31,84087
2018-06-01,235920
2018-06-02,79396
2018-06-03,72925
2018-06-04,166010
2018-06-05,62126
2018-06-06,57926
2018-06-07,177318
2018-06-08,74294
2018-06-09,372953
2018-06-10,105001
2018-06-11,82501
2018-06-12,80266
2018-06-13,54335
2018-06-14,43937
2018-06-15,37043
2018-06-16,31302
2018-06-17,30122
2018-06-18,28142
2018-06-19,23677
2018-06-20,23813
2018-06-21,23576
2018-06-22,27190
2018-06-23,21520
2018-06-24,27136
2018-06-25,32310
2018-06-26,39287
2018-06-27,26781
2018-06-28,26333
2018-06-29,50297
2018-06-30,45394
2018-07-01,55269
2018-07-02,639147
2018-07-03,163152
2018-07-04,88640
2018-07-05,68418
2018-07-06,61114
2018-07-07,52249
2018-07-08,47584
2018-07-09,43429
2018-07-10,65230
2018-07-11,39064
2018-07-12,30484
2018-07-13,26914
2018-07-14,22816
2018-07-15,22184
2018-07-16,26051
2018-07-17,21822
2018-07-18,22993
2018-07-19,25296
2018-07-20,27008
2018-07-21,20950
2018-07-22,22610
2018-07-23,21922
2018-07-24,19220
2018-07-25,17498
2018-07-26,20706
2018-07-27,29590
2018-07-28,19750
2018-07-29,20874
2018-07-30,33508
2018-07-31,60281
2018-08-01,42382
2018-08-02,28069
2018-08-03,20063
2018-08-04,51025
2018-08-05,49760
2018-08-06,36031
2018-08-07,32057
2018-08-08,22211
2018-08-09,22596
2018-08-10,18658
2018-08-11,15968
2018-08-12,14363
2018-08-13,14897
2018-08-14,14333
2018-08-15,13701
2018-08-16,14835
2018-08-17,13996
2018-08-18,12374
2018-08-19,12930
2018-08-20,12393
2018-08-21,11916
2018-08-22,12304
2018-08-23,12859
2018-08-24,13579
2018-08-25,11137
2018-08-26,10648
2018-08-27,12154
2018-08-28,12841
2018-08-29,13734
2018-08-30,16582
2018-08-31,14977
2018-09-01,11720
2018-09-02,11385
2018-09-03,12043
2018-09-04,11697
2018-09-05,13027
2018-09-06,13948
2018-09-07,16493
2018-09-08,13966
2018-09-09,13106
2018-09-10,11675
2018-09-11,11785
2018-09-12,15525
2018-09-13,14092
2018-09-14,14091
2018-09-15,17825
2018-09-16,16123
2018-09-17,18192
2018-09-18,14090
2018-09-19,15726
2018-09-20,17897
2018-09-21,17237
2018-09-22,14350
2018-09-23,15098
2018-09-24,18223
2018-09-25,26947
2018-09-26,19262
2018-09-27,17562
2018-09-28,16268
2018-09-29,15475
2018-09-30,16716
2018-10-01,27039
2018-10-02,15470
2018-10-03,22382
2018-10-04,17206
2018-10-05,16992
2018-10-06,16459
2018-10-07,15306
2018-10-08,13281
2018-10-09,14931
2018-10-10,14768
2018-10-11,26076
2018-10-12,16166
2018-10-13,20802
2018-10-14,19576
2018-10-15,18289
2018-10-16,23326
2018-10-17,25990
2018-10-18,32160
2018-10-19,56062
2018-10-20,29801
2018-10-21,67505
2018-10-22,25450
2018-10-23,31247
2018-10-24,20172
2018-10-25,26025
2018-10-26,30936
2018-10-27,18200
2018-10-28,36871
2018-10-29,25847
2018-10-30,28114
2018-10-31,18691
2018-11-01,24830
2018-11-02,20162
2018-11-03,19398
2018-11-04,21343
2018-11-05,21373
2018-11-06,17670
2018-11-07,21356
2018-11-08,27679
2018-11-09,19668
2018-11-10,17912
2018-11-11,20754
2018-11-12,24718
2018-11-13,20786
2018-11-14,25435
2018-11-15,62833
2018-11-16,32788
2018-11-17,24149
2018-11-18,21867
2018-11-19,34153
2018-11-20,26236
2018-11-21,27377
2018-11-22,62911
2018-11-23,21656
2018-11-24,24480
2018-11-25,21164
2018-11-26,18641
2018-11-27,17124
2018-11-28,23986
2018-11-29,22336
2018-11-30,22309
2018-12-01,20336
2018-12-02,19564
2018-12-03,21007
2018-12-04,19802
2018-12-05,25769
2018-12-06,30293
2018-12-07,20127
2018-12-08,20114
2018-12-09,20468
2018-12-10,20028
2018-12-11,47146
2018-12-12,25628
2018-12-13,21415
2018-12-14,20659
2018-12-15,16078
2018-12-16,19357
2018-12-17,16123
2018-12-18,16647
2018-12-19,24877
2018-12-20,20624
2018-12-21,17926
2018-12-22,29142
2018-12-23,19757
2018-12-24,19504
2018-12-25,37998
2018-12-26,64634
2018-12-27,26699
2018-12-28,22028
2018-12-29,21788
2018-12-30,47522
2018-12-31,46341
2019-01-01,24334
2019-01-02,21061
2019-01-03,22498
2019-01-04,21294
2019-01-05,20372
2019-01-06,19231
2019-01-07,15664
2019-01-08,16094
2019-01-09,16828
2019-01-10,18345
2019-01-11,16287
2019-01-12,19055
2019-01-13,18755
2019-01-14,16910
2019-01-15,15949
2019-01-16,16264
2019-01-17,19544
2019-01-18,18103
2019-01-19,17032
2019-01-20,21069
2019-01-21,16434
2019-01-22,19769
2019-01-23,14843
2019-01-24,17181
2019-01-25,24247
2019-01-26,17151
2019-01-27,17996
2019-01-28,21421
2019-01-29,21375
2019-01-30,20675
2019-01-31,20005
2019-02-01,27731
2019-02-02,21540
2019-02-03,29357
2019-02-04,23904
2019-02-05,22052
2019-02-06,34264
2019-02-07,26306
2019-02-08,33113
2019-02-09,24748
2019-02-10,34971
2019-02-11,24272
2019-02-12,21533
2019-02-13,25826
2019-02-14,22539
2019-02-15,21190
2019-02-16,20611
2019-02-17,25633
2019-02-18,57110
2019-02-19,26288
2019-02-20,21823
2019-02-21,28352
2019-02-22,35338
2019-02-23,21087
2019-02-24,23367
2019-02-25,18593
2019-02-26,29235
2019-02-27,21630
2019-02-28,25961
2019-03-01,22345
2019-03-02,26118
2019-03-03,26993
2019-03-04,22041
2019-03-05,32389
2019-03-06,25210
2019-03-07,91271
2019-03-08,38714
2019-03-09,26281
2019-03-10,30730
2019-03-11,20129
2019-03-12,17282
2019-03-13,19103
2019-03-14,18116
2019-03-15,23229
2019-03-16,20087
2019-03-17,23107
2019-03-18,20615
2019-03-19,21292
2019-03-20,18441
2019-03-21,16803
2019-03-22,16843
2019-03-23,30647
2019-03-24,23211
2019-03-25,19468
2019-03-26,16193
2019-03-27,22931
2019-03-28,18459
2019-03-29,16672
2019-03-30,21941
2019-03-31,23556
2019-04-01,18177
2019-04-02,16191
2019-04-03,15878
2019-04-04,15083
2019-04-05,16970
2019-04-06,15865
2019-04-07,15069
2019-04-08,15943
2019-04-09,18483
2019-04-10,32571
2019-04-11,34055
